"Order Type","Order Type"
"Order Type Information","Order Type Information"
"Enable","Enable"
"Name","Name"
"Add New Order Type","Add New Order Type"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
"Delete","Delete"
"Disable","Disable"
"Enable","Enable"
"Status","Status"
"Edit","Edit"
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Standard Order","Standard Order"
"Exhibition Order","Exhibition Order"
"Test Order","Test Order"
"Select Order Type","Select Order Type"
"Could not save the order type: %1","Could not save the order type: %1"
"Order type with id "%1" does not exist.","Order type with id "%1" does not exist."
"Could not delete the order type: %1","Could not delete the order type: %1"
"Enabled","Enabled"
"Disabled","Disabled"
"Cart %1 is empty","Cart %1 is empty"
"Could not save the order type! %1","Could not save the order type! %1"
"Order %1 does not exist","Order %1 does not exist"
"View Order Type","View Order Type"
"Delete Order Type","Delete Order Type"
"Save Order Type","Save Order Type"
"You saved the Order Type.","You saved the Order Type."
"Something went wrong while saving the Order Type.","Something went wrong while saving the Order Type."
"You duplicated the Order Type.","You duplicated the Order Type."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Order Types List","Order Types List"
"This type no longer exists.","This type no longer exists."
"Edit Order Type: %1","Edit Order Type: %1"
"New Order Type","New Order Type"
"The Type: %1 has been deleted.","The Type: %1 has been deleted."
"We can't find a type to delete.","We can't find a type to delete."
"Back","Back"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save","Save"
"Save options","Save options"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
